date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:32	15723/15723	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:32%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-180x180.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:33	16835/16835	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:33%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/android-icon-192x192.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/android-icon-192x192.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:33	2099/2099	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:33%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/favicon-32x32.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:34	6400/6400	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:34%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/favicon-96x96.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/favicon-96x96.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:34	1369/1369	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:34%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/favicon-16x16.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:35	10944/10944	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:34%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/ms-icon-144x144.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/ms-icon-144x144.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:35	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%22608affed-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/Maestrolux/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:36	5782/5782	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Jun%202021%2009:02:36%20GMT	https://maestrolux.vercel.app/medical/assets/images/logo.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/images/logo.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:36	5782/5782	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Jun%202021%2009:02:36%20GMT	https://maestrolux.vercel.app/images/medical-logo.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/images/medical-logo.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:36	8941/8941	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jun%202021%2009:02:36%20GMT	https://maestrolux.vercel.app/assets/css/side-right.css	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/assets/css/side-right.css	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:37	605230/605230	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jun%202021%2009:02:37%20GMT	https://maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:37	32322/32322	---M--	200	added ('OK')	image/gif	date:Tue,%2029%20Jun%202021%2009:02:37%20GMT	https://maestrolux.vercel.app/medical/assets/images/loading.gif	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/images/loading.gif	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:39	76861/76861	---M--	200	added ('OK')	image/jpeg	etag:W/%2212c3d-Z6VfH94TNN/GHwbqkhIr0g%22	https://ik.imagekit.io/q5gfy1zcvl/MedicalVue_G-G63g6WC.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/MedicalVue_G-G63g6WC.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:40	52992/52992	---M--	200	added ('OK')	image/jpeg	etag:W/%22cf00-s2Yh6G353+YZUTNFEElX4A%22	https://ik.imagekit.io/q5gfy1zcvl/Carrd_Movie_wLFQlbgzu.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/Carrd_Movie_wLFQlbgzu.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:40	39995/39995	---M--	200	added ('OK')	image/jpeg	etag:W/%229c3b-azY1ZTSG5UV+cWWDhZWkRw%22	https://ik.imagekit.io/q5gfy1zcvl/Card_Education_xAfWF_8N8.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/Card_Education_xAfWF_8N8.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:41	52963/52963	---M--	200	added ('OK')	image/jpeg	etag:W/%22cee3-fJ6Dh1Ad7dfKK6EmFEBNyA%22	https://ik.imagekit.io/q5gfy1zcvl/03_08_preview_saas_MZBg7aLZU.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/03_08_preview_saas_MZBg7aLZU.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:42	44769/44769	---M--	200	added ('OK')	image/jpeg	etag:W/%22aee1-JrFKulSCWItEBPE90IUtCw%22	https://ik.imagekit.io/q5gfy1zcvl/03_06_preview_mobile_HJux8GYHg.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/03_06_preview_mobile_HJux8GYHg.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:43	50355/50355	---M--	200	added ('OK')	image/jpeg	etag:W/%22c4b3-RjcihQqHuBVUlGlEM2Khgg%22	https://ik.imagekit.io/q5gfy1zcvl/Card_Agency2_yQxwhkOOF.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/Card_Agency2_yQxwhkOOF.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:44	72553/72553	---M--	200	added ('OK')	image/jpeg	etag:W/%2211b69-VF1kc8jlgvio1RU9hVAdcg%22	https://ik.imagekit.io/q5gfy1zcvl/ProfileVue_8FMHuqqJ8.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/ProfileVue_8FMHuqqJ8.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:44	77272/77272	---M--	200	added ('OK')	image/jpeg	etag:W/%2212dd8-cUX16YgN3znE4xCdAJa+iA%22	https://ik.imagekit.io/q5gfy1zcvl/CoinzVue_l-DV3hy73q.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/CoinzVue_l-DV3hy73q.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:45	93463/93463	---M--	200	added ('OK')	image/jpeg	etag:W/%2216d17-Kzge6TXuNZV6yjl56gEC3g%22	https://ik.imagekit.io/q5gfy1zcvl/FashionVue_aJ6pH1tCn.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/FashionVue_aJ6pH1tCn.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:46	35601/35601	---M--	200	added ('OK')	image/jpeg	etag:W/%228b11-BQsvLUBSeUnHXq03n2It5w%22	https://ik.imagekit.io/q5gfy1zcvl/Card_Hosting2_1dr05XJSv.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/Card_Hosting2_1dr05XJSv.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:46	83083/83083	---M--	200	added ('OK')	image/jpeg	etag:W/%221448b-2eIS+oPCDcmuVm+EzMiHRA%22	https://ik.imagekit.io/q5gfy1zcvl/ArchitectVue_mRDTrcrZ-.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/ArchitectVue_mRDTrcrZ-.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:47	27365/27365	---M--	200	added ('OK')	image/jpeg	etag:W/%226ae5-deWPQOm0PtdD6FeBhLF8xA%22	https://ik.imagekit.io/q5gfy1zcvl/docs_G4-Yw2hVC.jpg	C:/My%20Web%20Sites/Maestrolux/ik.imagekit.io/q5gfy1zcvl/docs_G4-Yw2hVC.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:47	21361/21361	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2009:02:47%20GMT	https://maestrolux.vercel.app/medical/en/contact.html	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/en/contact.html	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:48	90014/90014	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:48%20GMT	https://maestrolux.vercel.app/medical/assets/images/medical-logo.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/images/medical-logo.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:49	48539/48539	---M--	200	added ('OK')	image/jpeg	etag:%229c72cc56eae1fe7a2c6d405534edc6d5%22	https://res.cloudinary.com/imajin/image/upload/v1591430109/medical/doctor_ws5upi.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430109/medical/doctor_ws5upi.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:51	26998/26998	---M--	200	added ('OK')	image/jpeg	etag:%221330d51c77ae273e5855a26f1d711dd5%22	https://res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic2_bbmrbf.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic2_bbmrbf.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:51	146059/146059	---M--	200	added ('OK')	image/jpeg	etag:%2208ebd649fa142dc925ad06fedcc5630b%22	https://res.cloudinary.com/imajin/image/upload/v1591431236/medical/about_nzdnjx.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591431236/medical/about_nzdnjx.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:51	16274/16274	---M--	200	added ('OK')	image/jpeg	etag:%22338e7c7b0c2be19e6531e29b495a8701%22	https://res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic5_kv83cj.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic5_kv83cj.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:52	28392/28392	---M--	200	added ('OK')	image/jpeg	etag:%22135d0bdc9178f4e0edcf2896321f68e8%22	https://res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic4_lmtil0.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic4_lmtil0.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:52	22580/22580	---M--	200	added ('OK')	image/jpeg	etag:%22bea6c8b1ccfb2b77ce8720c8677b0597%22	https://res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic3_mrsrew.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic3_mrsrew.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:52	57466/57466	---M--	200	added ('OK')	image/jpeg	etag:%22937f2bc106b99ab6509a504ccb8a88a5%22	https://res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic_mptn6n.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430109/medical/clinic_mptn6n.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:52	11703/11703	---M--	200	added ('OK')	image/jpeg	etag:%22a0e9b13522390f59ba054263458cde85%22	https://res.cloudinary.com/imajin/image/upload/v1591430110/medical/f1_bep9vx.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430110/medical/f1_bep9vx.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:53	10720/10720	---M--	200	added ('OK')	image/jpeg	etag:%22f22a4b25644be643984ba06aa87df1fb%22	https://res.cloudinary.com/imajin/image/upload/v1591430110/medical/m3_akbcum.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430110/medical/m3_akbcum.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:53	16725/16725	---M--	200	added ('OK')	image/jpeg	etag:%22fd97f57a730fc5d495056e592f972459%22	https://res.cloudinary.com/imajin/image/upload/v1591430110/medical/f2_ov9wma.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430110/medical/f2_ov9wma.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:53	11179/11179	---M--	200	added ('OK')	image/jpeg	etag:%2294f90527e124050cd8531ab234409342%22	https://res.cloudinary.com/imajin/image/upload/v1591430110/medical/m1_qihg3z.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430110/medical/m1_qihg3z.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:54	10878/10878	---M--	200	added ('OK')	image/jpeg	etag:%2259c3bbaf5c2d9381028b3cb2319375ce%22	https://res.cloudinary.com/imajin/image/upload/v1591430110/medical/m2_ovd31s.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430110/medical/m2_ovd31s.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:54	17041/17041	---M--	200	added ('OK')	image/jpeg	etag:%229f6d5cc851bc2e444703e3e0ab242c65%22	https://res.cloudinary.com/imajin/image/upload/v1591430110/medical/f3_qhwcqe.jpg	C:/My%20Web%20Sites/Maestrolux/res.cloudinary.com/imajin/image/upload/v1591430110/medical/f3_qhwcqe.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:54	5631/5631	---M--	200	added ('OK')	image/jpeg	etag:%22570716c9-15ff%22	https://randomuser.me/api/portraits/men/3.jpg	C:/My%20Web%20Sites/Maestrolux/randomuser.me/api/portraits/men/3.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:55	5810/5810	---M--	200	added ('OK')	image/jpeg	etag:%22570716c9-16b2%22	https://randomuser.me/api/portraits/women/8.jpg	C:/My%20Web%20Sites/Maestrolux/randomuser.me/api/portraits/women/8.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:55	3740/3740	---M--	200	added ('OK')	image/jpeg	etag:%22570716c9-e9c%22	https://randomuser.me/api/portraits/women/17.jpg	C:/My%20Web%20Sites/Maestrolux/randomuser.me/api/portraits/women/17.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:55	4035/4035	---M--	200	added ('OK')	image/jpeg	etag:%22570716c9-fc3%22	https://randomuser.me/api/portraits/women/90.jpg	C:/My%20Web%20Sites/Maestrolux/randomuser.me/api/portraits/women/90.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:56	3539/3539	---M--	200	added ('OK')	image/jpeg	etag:%22570716c9-dd3%22	https://randomuser.me/api/portraits/women/44.jpg	C:/My%20Web%20Sites/Maestrolux/randomuser.me/api/portraits/women/44.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:56	3615/3615	---M--	200	added ('OK')	image/jpeg	etag:%22570716c9-e1f%22	https://randomuser.me/api/portraits/men/75.jpg	C:/My%20Web%20Sites/Maestrolux/randomuser.me/api/portraits/men/75.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:56	6336/6336	---M--	200	added ('OK')	image/jpeg	etag:%22570716c9-18c0%22	https://randomuser.me/api/portraits/men/4.jpg	C:/My%20Web%20Sites/Maestrolux/randomuser.me/api/portraits/men/4.jpg	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:57	487461/487461	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2029%20Jun%202021%2009:02:57%20GMT	https://maestrolux.vercel.app/medical/assets/js/medical-bundle.min.js	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/js/medical-bundle.min.js	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:58	2219/2219	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2029%20Jun%202021%2009:02:57%20GMT	https://maestrolux.vercel.app/assets/js/side-right.js	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/assets/js/side-right.js	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:58	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2029%20Jun%202021%2009:02:58%20GMT	https://maestrolux.vercel.app/medical/assets/css/fonts/slick.eot	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/css/fonts/slick.eot	(from https://maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css)
14:32:58	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2029%20Jun%202021%2009:02:58%20GMT	https://maestrolux.vercel.app/medical/assets/css/fonts/slick.eot?	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/css/fonts/slickd41d.eot	(from https://maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css)
14:32:58	1380/1380	---M--	200	added ('OK')	font/woff	date:Tue,%2029%20Jun%202021%2009:02:58%20GMT	https://maestrolux.vercel.app/medical/assets/css/fonts/slick.woff	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/css/fonts/slick.woff	(from https://maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css)
14:32:59	1892/1892	---M--	200	added ('OK')	font/ttf	date:Tue,%2029%20Jun%202021%2009:02:59%20GMT	https://maestrolux.vercel.app/medical/assets/css/fonts/slick.ttf	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/css/fonts/slick.ttf	(from https://maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css)
14:32:59	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2029%20Jun%202021%2009:02:59%20GMT	https://maestrolux.vercel.app/medical/assets/css/fonts/slick.svg	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/css/fonts/slick.svg	(from https://maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css)
14:33:00	63451/63451	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jul%202020%2015:39:05%20GMT	https://i.ibb.co/1dcL4P5/doctor-big-vnuayx.jpg	C:/My%20Web%20Sites/Maestrolux/i.ibb.co/1dcL4P5/doctor-big-vnuayx.jpg	(from https://maestrolux.vercel.app/medical/assets/css/medical-bundle.min.css)
